level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
1.8086,57,1,not_sent,-1,1570.1889,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,58,1,not_sent,-1,1576.1077,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,59,1,not_sent,-1,1591.9372,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,60,1,not_sent,-1,1743.1678,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,61,1,not_sent,-1,1777.0607,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,62,1,not_sent,-1,1804.0674,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,63,1,not_sent,-1,1842.3496,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,64,1,not_sent,-1,1903.7417,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,65,1,not_sent,-1,1953.3747,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,66,1,not_sent,-1,1962.0044,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,67,1,not_sent,-1,1963.0868,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,68,1,not_sent,-1,1975.6599,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,69,1,not_sent,-1,1985.9979,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,70,1,not_sent,-1,1993.8592,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,71,1,not_sent,-1,2088.8424,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,72,1,not_sent,-1,2158.1923,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,73,1,not_sent,-1,2170.7279,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,74,1,not_sent,-1,2206.0750,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,75,1,not_sent,-1,2222.7809,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,76,1,not_sent,-1,2304.3839,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,77,1,not_sent,-1,2324.7553,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,78,1,not_sent,-1,2334.9639,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,79,1,not_sent,-1,2344.3588,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,80,1,not_sent,-1,2371.6979,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,81,1,not_sent,-1,2381.8101,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,82,1,not_sent,-1,2410.9535,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,83,1,not_sent,-1,2486.6266,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,84,1,not_sent,-1,2503.5399,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,85,1,not_sent,-1,2511.7537,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,86,1,not_sent,-1,2711.0217,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,87,1,not_sent,-1,2734.6549,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,88,1,not_sent,-1,2737.8168,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,89,1,not_sent,-1,2739.4179,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,90,1,not_sent,-1,2743.2708,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,91,1,not_sent,-1,2776.0266,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,92,1,not_sent,-1,2828.1308,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,93,1,not_sent,-1,2846.3257,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,94,1,not_sent,-1,2848.5032,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,95,1,not_sent,-1,2864.4486,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,96,1,not_sent,-1,3048.6439,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,97,1,not_sent,-1,3073.6291,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,98,1,not_sent,-1,3191.1726,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,99,1,not_sent,-1,3256.5832,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,100,1,not_sent,-1,3256.9662,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,101,1,not_sent,-1,3299.2822,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,102,1,not_sent,-1,3337.2604,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,103,1,not_sent,-1,3362.8037,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,104,1,not_sent,-1,3373.1002,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,105,1,not_sent,-1,3407.0819,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,106,1,not_sent,-1,3411.0058,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,107,1,not_sent,-1,3429.9325,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,108,1,not_sent,-1,3449.9909,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,109,1,not_sent,-1,3552.0072,-,0,inf,-,-,-,-,-,-,-,-,-,-,
0.9043,0,0,ok,-1,0.0000,16.4644,0,16.4644,0.0009,-,-,-,-,-,-,-,16.4404,0.0231,
0.9043,1,0,ok,-1,1.6806,32.9097,0,31.2291,0.0006,-,-,-,-,-,-,-,31.2093,0.0192,
0.9043,2,0,ok,-1,23.0201,49.3879,0,26.3678,0.0014,-,-,-,-,-,-,-,26.3437,0.0227,
0.9043,3,0,ok,-1,39.7791,65.8917,0,26.1126,0.0013,-,-,-,-,-,-,-,26.0881,0.0232,
0.9043,4,0,ok,-1,128.2622,144.7302,0,16.4679,0.0016,-,-,-,-,-,-,-,16.4374,0.0289,
0.9043,5,0,ok,-1,203.1822,219.6242,0,16.4420,0.0008,-,-,-,-,-,-,-,16.4226,0.0186,
0.9043,6,0,ok,-1,350.9616,367.4062,0,16.4446,0.0013,-,-,-,-,-,-,-,16.4183,0.0249,
0.9043,7,0,ok,-1,356.9962,383.7976,0,26.8014,0.0006,-,-,-,-,-,-,-,26.7798,0.0210,
0.9043,8,0,ok,-1,393.3588,409.8187,0,16.4599,0.0013,-,-,-,-,-,-,-,16.4326,0.0261,
0.9043,9,0,ok,-1,395.3659,426.2582,0,30.8923,0.0017,-,-,-,-,-,-,-,30.8661,0.0246,
0.9043,10,1,ok,-1,411.7354,442.7240,0,30.9886,0.0004,-,-,-,-,-,-,-,30.9640,0.0242,
0.9043,11,1,ok,-1,458.4398,474.9447,0,16.5049,0.0012,-,-,-,-,-,-,-,16.4717,0.0319,
0.9043,12,1,ok,-1,460.2242,491.4147,0,31.1905,0.0011,-,-,-,-,-,-,-,31.1619,0.0275,
0.9043,13,1,ok,-1,474.9333,507.9037,0,32.9704,0.0016,-,-,-,-,-,-,-,32.9411,0.0277,
0.9043,14,1,ok,-1,544.5666,561.0480,0,16.4814,0.0021,-,-,-,-,-,-,-,16.4520,0.0274,
0.9043,15,1,ok,-1,596.8054,613.2603,0,16.4549,0.0011,-,-,-,-,-,-,-,16.4232,0.0306,
0.9043,16,1,ok,-1,613.3282,629.8218,0,16.4936,0.0003,-,-,-,-,-,-,-,16.4691,0.0241,
0.9043,17,1,ok,-1,672.3665,688.8124,0,16.4458,0.0009,-,-,-,-,-,-,-,16.4137,0.0313,
