script,runtime,timestamp,server,cpu,gpu,server_sku,cpu_sku,gpu_sku,cpu_cores,model,dataset,device,dtype,samples,batch_size,resolution,steps,warmup,seed,threads,compile,compile_detail,cpu_offload,batched,loaded_dtype,diffusion_batch_size,sla_seconds,sla_percentile,num_shards,gpu_placement,workload,sla_ms,think_time_s,measure_s,batch_wait_ms,pre_workers,processor,images,compute_s_max,compute_s_sum,images_per_second,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,top1_correct,top1_accuracy,max_qps,max_concurrent_users,max_concurrent_inflight,requests_measured,p50_ms,p95_ms,p99_ms,max_ms,mean_batch_size,queue_depth_max,p95_drift,harness_lag_ms,preprocess_ms,queue_wait_ms,inference_ms,cpu_logical_count,cpu_cores_busy_mean,cpu_cores_busy_max,proc_cpu_pct_mean,sys_cpu_pct_mean,rss_gib_max,threads_max,gpu_util_pct_mean,gpu_mem_util_pct_mean,gpu_mem_used_gib_max,gpu_power_w_mean,gpu_power_w_max,gpu_sm_clock_mhz_mean,gpu_temp_c_max,host_source,shard_images,shard_compute_s,shard_images_per_second,files
vit_benchmark,diffusers,20260901_173642,SR630 V4,6740P,L4,,,,,google/vit-large-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,2000,64,,,3,,86,disabled,,,,,,,,2,,,,,,,,,2000,0.5206,1.0392,3841.7211,0.260,0.0003,,1650,0.8250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,1000|1000,0.5206|0.5186,1920.984|1928.243,vit_benchmark_google_vit-large-patch16-224_20260901_173642_shard0of2.txt|vit_benchmark_google_vit-large-patch16-224_20260901_173642_shard1of2.txt
vit_benchmark,diffusers,20260901_173837,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,float32,2000,64,,,3,,86,disabled,,,,,,,,4,,,,,,,,,2000,188.4508,746.5864,10.6128,94.225,0.0942,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,188.4508|185.2374|186.7653|186.1329,2.653|2.699|2.677|2.686,vit_benchmark_facebook_dinov2-giant_20260901_173837_shard0of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_173837_shard1of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_173837_shard2of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_173837_shard3of4.txt
vit_benchmark,diffusers,20260901_174511,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,2000,64,,,3,,86,enabled,,,,,,,,4,,,,,,,,,2000,53.3287,211.7106,37.5033,26.664,0.0267,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,52.3647|53.0048|53.3287|53.0124,9.548|9.433|9.376|9.432,vit_benchmark_facebook_dinov2-giant_20260901_174511_shard0of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_174511_shard1of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_174511_shard2of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_174511_shard3of4.txt
vit_benchmark,diffusers,20260901_174733,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cuda,bfloat16,2000,64,,,3,,86,disabled,,,,,,,,2,,,,,,,,,2000,2.3504,4.6718,850.9190,1.175,0.0012,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,1000|1000,2.3214|2.3504,430.780|425.451,vit_benchmark_facebook_dinov2-giant_20260901_174733_shard0of2.txt|vit_benchmark_facebook_dinov2-giant_20260901_174733_shard1of2.txt
vit_benchmark,diffusers,20260901_175214,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,float32,2000,32,,,3,,86,disabled,,,,,,,,4,,,,,,,,,2000,142.5147,566.6035,14.0336,71.257,0.0713,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,140.4667|141.5310|142.0911|142.5147,3.560|3.533|3.519|3.508,vit_benchmark_facebook_dinov2-giant_20260901_175214_shard0of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175214_shard1of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175214_shard2of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175214_shard3of4.txt
vit_benchmark,diffusers,20260901_175516,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,2000,32,,,3,,86,enabled,,,,,,,,4,,,,,,,,,2000,60.1553,231.4659,33.2473,30.078,0.0301,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,57.2705|57.1416|56.8985|60.1553,8.731|8.750|8.788|8.312,vit_benchmark_facebook_dinov2-giant_20260901_175516_shard0of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175516_shard1of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175516_shard2of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175516_shard3of4.txt
vit_benchmark,diffusers,20260901_175710,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cuda,bfloat16,2000,32,,,3,,86,disabled,,,,,,,,2,,,,,,,,,2000,2.4812,4.9188,806.0616,1.241,0.0012,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,1000|1000,2.4376|2.4812,410.238|403.035,vit_benchmark_facebook_dinov2-giant_20260901_175710_shard0of2.txt|vit_benchmark_facebook_dinov2-giant_20260901_175710_shard1of2.txt
vit_benchmark,diffusers,20260901_175930,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,float32,2000,86,,,3,,86,disabled,,,,,,,,4,,,,,,,,,2000,189.2100,737.4359,10.5703,94.605,0.0946,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,189.2100|181.7214|184.7417|181.7628,2.643|2.751|2.706|2.751,vit_benchmark_facebook_dinov2-giant_20260901_175930_shard0of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175930_shard1of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175930_shard2of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_175930_shard3of4.txt
vit_benchmark,diffusers,20260901_180429,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,2000,86,,,3,,86,enabled,,,,,,,,4,,,,,,,,,2000,49.1642,195.4419,40.6800,24.582,0.0246,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,48.7034|48.6407|49.1642|48.9336,10.266|10.279|10.170|10.218,vit_benchmark_facebook_dinov2-giant_20260901_180429_shard0of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_180429_shard1of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_180429_shard2of4.txt|vit_benchmark_facebook_dinov2-giant_20260901_180429_shard3of4.txt
vit_benchmark,diffusers,20260901_180631,SR630 V4,6740P,L4,,,,,facebook/dinov2-giant,ILSVRC/imagenet-1k,cuda,bfloat16,2000,86,,,3,,86,disabled,,,,,,,,2,,,,,,,,,2000,2.3965,4.7521,834.5504,1.198,0.0012,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,1000|1000,2.3556|2.3965,424.512|417.271,vit_benchmark_facebook_dinov2-giant_20260901_180631_shard0of2.txt|vit_benchmark_facebook_dinov2-giant_20260901_180631_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260901_182949,SR630 V4,6740P,L4,,,,,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,float32,100,,1024x1024,20,3,42,64,disabled,,auto,,torch.float32,,,,4,,,,,,,,,100,1141.9351,4303.4669,0.0876,11419.351,11.4194,1.7514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,25|25|25|25,919.1710|1137.9395|1141.9351|1104.4213,0.027198|0.021970|0.021893|0.022636,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_182949_shard0of4.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_182949_shard1of4.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_182949_shard2of4.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_182949_shard3of4.txt
dit_benchmark_cpuOffload,diffusers,20260901_185223,SR630 V4,6740P,L4,,,,,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,bfloat16,100,,1024x1024,20,3,42,64,disabled,,auto,,torch.bfloat16,,,,4,,,,,,,,,100,631.9580,2471.2732,0.1582,6319.580,6.3196,3.1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,25|25|25|25,611.8648|611.6068|615.8436|631.9580,0.040859|0.040876|0.040595|0.039560,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_185223_shard0of4.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_185223_shard1of4.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_185223_shard2of4.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_185223_shard3of4.txt
dit_benchmark_cpuOffload,diffusers,20260901_190429,SR630 V4,6740P,L4,,,,,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cuda,bfloat16,100,,1024x1024,20,3,42,64,disabled,,auto,,torch.bfloat16,,,,2,full pipeline resident on GPU,,,,,,,,100,28.7126,57.2536,3.4828,287.126,0.2871,69.6558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,50|50,28.7126|28.5410,1.741393|1.751865,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_190429_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260901_190429_shard1of2.txt
